order_date,total_orders
01-01-2015,69
01-02-2015,87
01-03-2015,49
01-04-2015,67
01-05-2015,75
01-06-2015,72
01-07-2015,66
01-08-2015,74
01-09-2015,61
01-10-2015,84
01-11-2015,55
01-12-2015,61
02-01-2015,67
02-02-2015,63
02-03-2015,58
02-04-2015,62
02-05-2015,68
02-06-2015,59
02-07-2015,63
02-08-2015,48
02-09-2015,48
02-10-2015,61
02-11-2015,56
02-12-2015,59
03-01-2015,66
03-02-2015,62
03-03-2015,53
03-04-2015,64
03-05-2015,49
03-06-2015,51
03-07-2015,93
03-08-2015,58
03-09-2015,59
03-10-2015,61
03-11-2015,49
03-12-2015,56
04-01-2015,52
04-02-2015,57
04-03-2015,59
04-04-2015,66
04-05-2015,55
04-06-2015,56
04-07-2015,105
04-08-2015,58
04-09-2015,66
04-10-2015,52
04-11-2015,49
04-12-2015,72
05-01-2015,54
05-02-2015,60
05-03-2015,64
05-04-2015,50
05-05-2015,49
05-06-2015,69
05-07-2015,41
05-08-2015,60
05-09-2015,59
05-11-2015,58
05-12-2015,61
06-01-2015,64
06-02-2015,66
06-03-2015,66
06-04-2015,60
06-05-2015,55
06-06-2015,61
06-07-2015,58
06-08-2015,61
06-09-2015,47
06-10-2015,61
06-11-2015,73
06-12-2015,55
07-01-2015,58
07-02-2015,61
07-03-2015,58
07-04-2015,61
07-05-2015,58
07-06-2015,55
07-07-2015,53
07-08-2015,65
07-09-2015,60
07-10-2015,61
07-11-2015,61
07-12-2015,59
08-01-2015,72
08-02-2015,53
08-03-2015,62
08-04-2015,60
08-05-2015,71
08-06-2015,58
08-07-2015,66
08-08-2015,69
08-09-2015,61
08-10-2015,49
08-11-2015,48
08-12-2015,50
09-01-2015,62
09-02-2015,54
09-03-2015,56
09-04-2015,52
09-05-2015,56
09-06-2015,65
09-07-2015,58
09-08-2015,55
09-09-2015,59
09-10-2015,60
09-11-2015,61
09-12-2015,65
10-01-2015,65
10-02-2015,59
10-03-2015,59
10-04-2015,59
10-05-2015,55
10-06-2015,54
10-07-2015,71
10-08-2015,59
10-09-2015,62
10-10-2015,61
10-11-2015,62
10-12-2015,62
11-01-2015,52
11-02-2015,69
11-03-2015,62
11-04-2015,63
11-05-2015,60
11-06-2015,68
11-07-2015,53
11-08-2015,64
11-09-2015,77
11-10-2015,42
11-11-2015,48
11-12-2015,73
12-01-2015,55
12-02-2015,58
12-03-2015,51
12-04-2015,53
12-05-2015,62
12-06-2015,61
12-07-2015,58
12-08-2015,54
12-09-2015,67
12-11-2015,59
12-12-2015,56
13-01-2015,48
13-02-2015,71
13-03-2015,71
13-04-2015,66
13-05-2015,63
13-06-2015,64
13-07-2015,54
13-08-2015,55
13-09-2015,49
13-10-2015,58
13-11-2015,67
13-12-2015,52
14-01-2015,62
14-02-2015,57
14-03-2015,56
14-04-2015,50
14-05-2015,69
14-06-2015,48
14-07-2015,59
14-08-2015,81
14-09-2015,60
14-10-2015,57
14-11-2015,58
14-12-2015,58
15-01-2015,62
15-02-2015,55
15-03-2015,49
15-04-2015,67
15-05-2015,94
15-06-2015,73
15-07-2015,62
15-08-2015,72
15-09-2015,65
15-10-2015,107
15-11-2015,45
15-12-2015,58
16-01-2015,67
16-02-2015,49
16-03-2015,66
16-04-2015,55
16-05-2015,61
16-06-2015,54
16-07-2015,56
16-08-2015,50
16-09-2015,61
16-10-2015,64
16-11-2015,61
16-12-2015,69
17-01-2015,55
17-02-2015,61
17-03-2015,71
17-04-2015,64
17-05-2015,49
17-06-2015,54
17-07-2015,82
17-08-2015,62
17-09-2015,58
17-10-2015,55
17-11-2015,49
17-12-2015,57
18-01-2015,51
18-02-2015,61
18-03-2015,62
18-04-2015,62
18-05-2015,57
18-06-2015,56
18-07-2015,54
18-08-2015,57
18-09-2015,72
18-10-2015,45
18-11-2015,46
18-12-2015,76
19-01-2015,56
19-02-2015,56
19-03-2015,58
19-04-2015,50
19-05-2015,46
19-06-2015,74
19-07-2015,53
19-08-2015,56
19-09-2015,59
