orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber
77,P10,6,112.18,7
87,P11,2,75.17,9
17,P4,1,134.0,6
82,P3,7,461.12,4
88,P7,8,102.62,3
78,P20,2,391.1,7
11,P14,6,344.93,6
15,P7,7,396.12,9
97,P12,8,188.45,2
1,P4,10,219.81,1
94,P18,1,489.45,2
67,P3,2,68.11,1
34,P11,2,89.95,4
72,P15,10,452.4,6
48,P14,3,101.33,8
46,P9,1,155.87,8
43,P2,2,25.35,9
25,P16,9,181.69,6
88,P14,3,306.84,2
17,P15,7,54.26,5
33,P3,8,55.34,7
57,P19,10,280.62,1
40,P2,10,444.66,9
31,P2,2,473.77,5
98,P19,7,52.34,9
88,P10,3,298.39,1
74,P1,1,225.84,6
92,P13,10,316.7,7
50,P15,6,314.78,3
69,P10,8,279.61,10
25,P3,5,402.57,9
51,P8,10,401.0,5
82,P20,7,260.03,9
93,P8,8,497.21,10
9,P16,3,336.14,4
68,P4,10,478.35,4
94,P8,4,296.6,8
59,P13,10,426.22,8
43,P13,2,15.81,9
11,P20,1,212.36,9
4,P4,1,241.32,5
50,P18,2,57.67,1
96,P16,3,155.18,5
38,P15,10,140.35,10
34,P10,7,105.89,4
7,P20,9,55.02,4
40,P7,10,273.37,2
1,P9,5,120.6,3
12,P12,5,94.22,9
93,P12,2,274.18,7
23,P11,9,417.83,2
22,P16,8,151.07,7
58,P10,10,118.91,5
7,P1,2,26.35,6
40,P19,9,323.52,3
34,P13,3,103.36,7
64,P1,1,304.43,8
86,P8,10,442.62,2
37,P2,7,76.03,1
65,P4,3,460.13,8
23,P9,8,158.2,6
6,P5,7,164.89,5
40,P4,6,375.84,2
26,P14,4,372.38,2
4,P18,3,56.11,6
99,P20,3,462.43,7
43,P9,2,167.03,2
91,P16,9,259.34,8
75,P19,9,316.71,9
4,P3,5,311.5,4
47,P19,1,358.6,5
81,P10,8,54.17,4
59,P3,5,191.28,10
46,P13,5,352.84,4
91,P1,1,486.1,2
26,P4,8,210.5,3
98,P12,4,245.83,4
85,P4,7,371.93,2
60,P5,3,306.5,3
23,P4,1,244.19,10
19,P15,4,284.58,8
85,P15,8,265.57,5
80,P20,5,413.41,10
27,P20,9,115.25,5
63,P7,1,495.16,3
39,P1,4,36.85,4
43,P2,7,156.07,10
94,P17,5,271.62,9
1,P10,10,148.41,1
37,P11,4,351.89,1
53,P17,4,345.71,5
4,P3,9,30.16,6
38,P15,2,360.97,5
54,P3,8,53.27,5
22,P18,10,322.5,9
18,P9,7,50.34,5
63,P20,7,495.77,4
45,P11,2,407.98,1
62,P1,5,224.79,1
47,P13,6,142.91,6
31,P2,5,24.24,5
57,P5,6,216.2,5
85,P13,1,311.48,8
29,P13,10,31.18,8
22,P4,2,191.65,1
100,P3,10,338.2,10
61,P4,3,64.72,8
72,P19,10,344.88,1
5,P12,3,451.96,1
75,P15,2,461.55,9
56,P17,5,374.31,8
66,P15,10,400.59,2
54,P18,4,100.25,9
83,P16,1,342.46,8
51,P11,1,325.68,8
18,P13,1,471.59,10
39,P13,5,181.52,3
82,P18,3,124.54,1
1,P4,5,306.91,9
40,P19,9,479.71,10
29,P9,9,38.33,9
56,P1,5,470.89,4
33,P17,5,112.49,4
73,P5,5,277.31,4
61,P16,1,84.16,10
14,P3,5,401.63,6
96,P8,6,224.65,5
68,P9,4,469.68,4
48,P15,7,60.32,10
88,P7,7,412.88,6
49,P12,6,158.28,10
75,P3,10,46.06,5
22,P18,6,72.09,9
75,P13,3,398.15,4
2,P19,4,95.17,5
3,P2,8,205.26,5
7,P5,10,168.28,9
16,P5,6,400.77,4
60,P13,4,38.25,3
5,P12,1,334.91,6
73,P19,1,118.23,10
14,P7,1,63.57,3
57,P17,8,354.25,4
42,P10,10,133.57,2
45,P11,5,77.05,4
86,P17,7,264.46,1
84,P19,1,139.68,8
82,P1,4,427.33,3
56,P3,5,52.1,5
24,P7,4,387.78,6
82,P1,4,195.51,4
60,P3,8,362.57,8
85,P13,5,212.36,9
95,P6,6,486.72,2
1,P18,6,187.61,4
89,P18,1,127.86,3
39,P12,8,333.83,3
21,P12,7,489.51,5
82,P19,2,448.72,7
74,P17,10,222.2,1
11,P8,4,109.86,4
58,P15,5,437.45,4
1,P15,3,174.1,6
23,P8,4,206.79,5
74,P20,1,30.35,7
3,P5,4,317.54,4
8,P20,6,483.06,2
55,P2,4,194.82,6
56,P9,5,339.91,3
77,P12,2,458.54,5
31,P13,2,168.08,7
46,P17,3,23.22,5
21,P14,7,287.96,3
16,P2,7,483.1,3
51,P5,8,67.6,1
79,P5,8,481.16,6
68,P3,5,102.25,6
18,P19,3,106.93,7
25,P3,6,215.03,8
68,P4,2,70.57,4
63,P5,1,108.48,7
16,P14,5,18.99,1
73,P16,3,402.84,10
11,P3,4,265.33,4
50,P12,2,112.94,2
26,P10,7,485.09,9
57,P2,5,146.73,7
59,P13,3,93.42,1
69,P6,1,483.6,1
44,P17,1,126.64,5
87,P18,1,51.96,8
87,P2,10,347.05,6
66,P15,7,15.04,9
19,P17,4,398.68,1
55,P1,4,300.86,6
55,P5,8,478.43,6
63,P15,7,67.06,7
54,P5,10,438.25,9
34,P1,8,276.5,9
94,P20,2,445.09,3
