orderNumber,orderDate,customerNumber,productCode,quantityOrdered,priceEach,sales
1,2019-01-24,23,P12,7,393.38,2753.66
2,2019-01-28,38,P3,7,136.5,955.5
3,2019-01-27,16,P4,4,277.94,1111.76
4,2019-01-09,28,P18,2,376.8,753.6
5,2019-01-05,24,P10,9,54.64,491.76
6,2019-01-29,30,P13,2,334.99,669.98
7,2019-01-12,24,P6,8,179.18,1433.44
8,2019-01-27,24,P14,7,224.57,1571.99
9,2019-01-20,15,P13,10,360.0,3600.0
10,2019-01-18,38,P7,6,194.32,1165.92
11,2019-01-25,15,P20,4,96.39,385.56
12,2019-01-13,23,P10,8,154.86,1238.88
13,2019-01-07,49,P11,4,336.48,1345.92
14,2019-01-07,19,P9,2,274.73,549.46
15,2019-01-04,30,P5,2,241.05,482.1
16,2019-01-25,6,P1,3,156.58,469.74
17,2019-01-11,48,P10,5,185.68,928.4
18,2019-01-17,25,P17,10,283.31,2833.1
19,2019-01-21,7,P7,7,118.82,831.74
20,2019-01-24,15,P8,7,174.36,1220.52
21,2019-01-19,11,P18,2,462.11,924.22
22,2019-01-05,4,P4,7,79.75,558.25
23,2019-01-09,50,P7,9,254.67,2292.03
24,2019-01-05,40,P1,9,341.63,3074.67
25,2019-01-17,13,P12,4,176.2,704.8
26,2019-01-30,14,P20,3,93.32,279.96
27,2019-01-12,2,P1,4,104.78,419.12
28,2019-01-05,41,P12,3,308.78,926.34
29,2019-01-03,41,P3,7,139.26,974.82
30,2019-01-04,13,P12,6,282.6,1695.6
31,2019-01-12,22,P16,4,82.36,329.44
32,2019-01-14,42,P7,8,331.41,2651.28
33,2019-01-26,26,P20,1,61.75,61.75
34,2019-01-18,12,P9,6,436.34,2618.04
35,2019-01-13,43,P17,4,253.3,1013.2
36,2019-01-10,6,P9,10,420.54,4205.4
37,2019-01-14,28,P20,6,453.96,2723.76
38,2019-01-08,25,P4,5,242.32,1211.6
39,2019-01-25,30,P12,4,458.34,1833.36
40,2019-01-30,25,P10,7,320.62,2244.34
41,2019-01-22,35,P14,4,490.61,1962.44
42,2019-01-01,19,P2,4,312.78,1251.12
43,2019-01-01,20,P9,9,436.28,3926.52
44,2019-01-08,40,P12,7,356.08,2492.56
45,2019-01-07,38,P18,4,160.88,643.52
46,2019-01-28,18,P18,8,93.63,749.04
47,2019-01-26,33,P17,8,408.16,3265.28
48,2019-01-23,47,P10,1,194.67,194.67
49,2019-01-09,26,P12,9,197.49,1777.41
50,2019-01-15,43,P20,10,265.25,2652.5
51,2019-01-26,42,P1,4,337.47,1349.88
52,2019-01-22,21,P1,3,78.46,235.38
53,2019-01-28,50,P12,10,109.32,1093.2
54,2019-01-07,8,P13,10,156.86,1568.6
55,2019-01-08,1,P11,3,475.81,1427.43
56,2019-01-05,17,P19,10,434.59,4345.9
57,2019-01-03,35,P8,6,71.23,427.38
