customerNumber,customerName,city,country,salesRepEmployeeNumber,creditLimit
1,Customer 1,City1,Country1,1008.0,0
2,Customer 2,City2,Country2,1001.0,17887
3,Customer 3,City3,Country3,1007.0,0
4,Customer 4,City4,Country4,,0
5,Customer 5,City5,Country5,1005.0,0
6,Customer 6,City6,Country6,,16631
7,Customer 7,City7,Country7,1007.0,16491
8,Customer 8,City8,Country8,1007.0,18320
9,Customer 9,City9,Country9,1003.0,0
10,Customer 10,City10,Country10,,0
11,Customer 11,City11,Country11,1002.0,43327
12,Customer 12,City12,Country12,1003.0,40559
13,Customer 13,City13,Country13,1010.0,0
14,Customer 14,City14,Country14,1005.0,29700
15,Customer 15,City15,Country15,,0
16,Customer 16,City16,Country16,,0
17,Customer 17,City17,Country17,1005.0,24863
18,Customer 18,City18,Country18,1008.0,1881
19,Customer 19,City19,Country19,,49239
20,Customer 20,City20,Country20,,8232
21,Customer 21,City21,Country21,,41508
22,Customer 22,City22,Country22,1002.0,39906
23,Customer 23,City23,Country23,1007.0,3505
24,Customer 24,City24,Country24,1003.0,21111
25,Customer 25,City25,Country25,1003.0,32870
26,Customer 26,City26,Country26,,0
27,Customer 27,City27,Country27,,0
28,Customer 28,City28,Country28,,0
29,Customer 29,City29,Country29,,12730
30,Customer 30,City30,Country30,1002.0,0
31,Customer 31,City31,Country31,1005.0,0
32,Customer 32,City32,Country32,1003.0,38679
33,Customer 33,City33,Country33,1007.0,19149
34,Customer 34,City34,Country34,,0
35,Customer 35,City35,Country35,1005.0,25927
36,Customer 36,City36,Country36,1007.0,0
37,Customer 37,City37,Country37,,11946
38,Customer 38,City38,Country38,1003.0,0
39,Customer 39,City39,Country39,,0
40,Customer 40,City40,Country40,1001.0,0
41,Customer 41,City41,Country41,1002.0,16248
42,Customer 42,City42,Country42,1006.0,39806
43,Customer 43,City43,Country43,,9546
44,Customer 44,City44,Country44,1008.0,19698
45,Customer 45,City45,Country45,1002.0,23807
46,Customer 46,City46,Country46,,26998
47,Customer 47,City47,Country47,,39387
48,Customer 48,City48,Country48,1001.0,42612
49,Customer 49,City49,Country49,,37602
50,Customer 50,City50,Country50,,16407
51,Customer 51,City51,Country51,,0
52,Customer 52,City52,Country52,1005.0,31804
53,Customer 53,City53,Country53,1008.0,49806
54,Customer 54,City54,Country54,1005.0,0
55,Customer 55,City55,Country55,1007.0,0
56,Customer 56,City56,Country56,1008.0,44886
57,Customer 57,City57,Country57,,35106
58,Customer 58,City58,Country58,1004.0,24179
59,Customer 59,City59,Country59,1006.0,47921
60,Customer 60,City60,Country60,,0
61,Customer 61,City61,Country61,,0
62,Customer 62,City62,Country62,1008.0,0
63,Customer 63,City63,Country63,1009.0,0
64,Customer 64,City64,Country64,,0
65,Customer 65,City65,Country65,,0
66,Customer 66,City66,Country66,1009.0,0
67,Customer 67,City67,Country67,,14206
68,Customer 68,City68,Country68,,0
69,Customer 69,City69,Country69,1006.0,0
70,Customer 70,City70,Country70,1007.0,0
71,Customer 71,City71,Country71,,40742
72,Customer 72,City72,Country72,1005.0,43732
73,Customer 73,City73,Country73,,0
74,Customer 74,City74,Country74,,0
75,Customer 75,City75,Country75,,0
76,Customer 76,City76,Country76,,0
77,Customer 77,City77,Country77,,0
78,Customer 78,City78,Country78,1003.0,45102
79,Customer 79,City79,Country79,1010.0,0
80,Customer 80,City80,Country80,,42103
81,Customer 81,City81,Country81,1003.0,0
82,Customer 82,City82,Country82,,20902
83,Customer 83,City83,Country83,,34465
84,Customer 84,City84,Country84,1009.0,10508
85,Customer 85,City85,Country85,1008.0,0
86,Customer 86,City86,Country86,,0
87,Customer 87,City87,Country87,,0
88,Customer 88,City88,Country88,,0
89,Customer 89,City89,Country89,,0
90,Customer 90,City90,Country90,,34450
91,Customer 91,City91,Country91,,10161
92,Customer 92,City92,Country92,,0
93,Customer 93,City93,Country93,1007.0,48552
94,Customer 94,City94,Country94,1009.0,45880
95,Customer 95,City95,Country95,,0
96,Customer 96,City96,Country96,1002.0,0
97,Customer 97,City97,Country97,,0
98,Customer 98,City98,Country98,,0
99,Customer 99,City99,Country99,,15884
100,Customer 100,City100,Country100,,0
