orderNumber,orderDate,customerNumber,productCode,quantityOrdered,priceEach,sales
1,2019-02-15,22,P5,6,463.57,2781.42
2,2019-02-25,3,P5,7,494.72,3463.04
3,2019-02-21,9,P19,6,191.36,1148.16
4,2019-02-10,47,P7,2,430.23,860.46
5,2019-02-17,38,P11,3,440.52,1321.56
6,2019-02-07,20,P13,8,480.31,3842.48
7,2019-02-18,7,P3,2,215.5,431.0
8,2019-02-19,5,P7,2,342.41,684.82
9,2019-02-12,45,P5,4,376.75,1507.0
10,2019-02-27,43,P15,6,404.02,2424.12
11,2019-02-22,11,P8,1,180.31,180.31
12,2019-02-14,16,P4,6,282.03,1692.18
13,2019-02-01,24,P20,8,145.76,1166.08
14,2019-02-03,31,P18,3,451.53,1354.59
15,2019-02-17,25,P1,1,249.63,249.63
16,2019-02-08,9,P8,8,60.45,483.6
17,2019-02-19,1,P8,8,91.19,729.52
18,2019-02-26,9,P7,5,378.48,1892.4
19,2019-02-23,42,P16,3,133.77,401.31
20,2019-02-11,49,P7,1,329.62,329.62
21,2019-02-18,15,P20,2,262.91,525.82
22,2019-02-06,3,P4,2,272.2,544.4
23,2019-02-13,16,P7,2,347.93,695.86
24,2019-02-25,48,P16,3,100.81,302.43
25,2019-02-24,28,P1,1,410.19,410.19
26,2019-02-10,28,P10,9,94.07,846.63
27,2019-02-07,47,P8,6,454.07,2724.42
28,2019-02-13,15,P6,6,135.5,813.0
29,2019-02-11,29,P6,6,379.12,2274.72
30,2019-02-03,6,P3,8,337.82,2702.56
31,2019-02-02,41,P13,6,98.17,589.02
32,2019-02-27,47,P11,6,443.54,2661.24
33,2019-02-09,29,P19,8,291.18,2329.44
34,2019-02-21,46,P1,7,467.04,3269.28
35,2019-02-05,39,P7,6,219.73,1318.38
36,2019-02-12,34,P5,4,85.74,342.96
37,2019-02-25,12,P7,4,109.68,438.72
38,2019-02-10,46,P7,4,359.43,1437.72
39,2019-02-26,32,P12,7,433.14,3031.98
40,2019-02-08,27,P8,5,188.39,941.95
41,2019-02-23,25,P13,2,78.69,157.38
42,2019-02-11,48,P10,4,50.68,202.72
43,2019-02-07,25,P8,6,180.28,1081.68
44,2019-02-08,47,P5,5,70.78,353.9
45,2019-02-06,31,P3,6,209.26,1255.56
46,2019-02-26,22,P6,10,429.4,4294.0
47,2019-02-18,49,P16,7,378.49,2649.43
48,2019-02-15,49,P6,6,214.37,1286.22
49,2019-02-28,26,P2,6,141.65,849.9
50,2019-02-14,26,P16,1,351.7,351.7
51,2019-02-09,33,P2,2,458.39,916.78
52,2019-02-19,9,P4,8,284.48,2275.84
53,2019-02-01,19,P2,3,494.44,1483.32
54,2019-02-09,27,P16,10,380.32,3803.2
55,2019-02-12,8,P1,3,350.62,1051.86
56,2019-02-08,15,P17,1,54.75,54.75
57,2019-02-15,20,P1,3,160.31,480.93
58,2019-02-01,36,P17,10,207.31,2073.1
59,2019-02-27,31,P16,4,118.04,472.16
60,2019-02-03,4,P9,5,275.65,1378.25
61,2019-02-03,36,P12,9,238.15,2143.35
62,2019-02-04,37,P19,8,347.17,2777.36
63,2019-02-14,17,P6,4,413.54,1654.16
64,2019-02-22,36,P3,4,207.5,830.0
65,2019-02-11,49,P20,7,427.35,2991.45
66,2019-02-01,40,P17,5,399.44,1997.2
67,2019-02-07,26,P7,3,392.69,1178.07
68,2019-02-03,25,P7,8,406.46,3251.68
69,2019-02-05,4,P11,6,99.46,596.76
70,2019-02-05,49,P14,4,55.55,222.2
71,2019-02-09,30,P2,9,117.49,1057.41
72,2019-02-18,13,P9,4,67.35,269.4
73,2019-02-07,12,P12,3,335.62,1006.86
74,2019-02-15,2,P12,1,366.76,366.76
75,2019-02-27,34,P2,3,130.64,391.92
76,2019-02-12,10,P11,10,249.46,2494.6
77,2019-02-08,45,P20,7,444.63,3112.41
78,2019-02-07,34,P4,5,265.58,1327.9
79,2019-02-07,39,P2,6,86.08,516.48
80,2019-02-11,49,P17,8,380.92,3047.36
81,2019-02-04,35,P16,8,109.49,875.92
82,2019-02-06,48,P4,3,245.15,735.45
83,2019-02-24,50,P15,7,354.28,2479.96
84,2019-02-09,27,P6,5,60.31,301.55
85,2019-02-23,38,P19,3,388.53,1165.59
86,2019-02-10,14,P20,10,190.63,1906.3
87,2019-02-13,44,P17,3,346.92,1040.76
88,2019-02-09,34,P19,8,271.78,2174.24
89,2019-02-23,8,P9,2,271.14,542.28
90,2019-02-01,3,P15,1,217.26,217.26
91,2019-02-16,35,P11,2,140.35,280.7
92,2019-02-02,47,P1,4,191.49,765.96
93,2019-02-17,26,P17,10,108.57,1085.7
94,2019-02-09,4,P8,5,173.2,866.0
95,2019-02-19,44,P14,8,189.36,1514.88
96,2019-02-14,16,P14,6,398.89,2393.34
97,2019-02-08,8,P2,9,102.23,920.07
98,2019-02-23,46,P20,10,434.89,4348.9
99,2019-02-18,35,P11,10,116.5,1165.0
100,2019-02-26,10,P7,4,120.61,482.44
101,2019-02-18,44,P8,10,112.87,1128.7
102,2019-02-04,27,P17,6,372.5,2235.0
103,2019-02-21,45,P12,7,414.16,2899.12
104,2019-02-14,45,P7,4,435.37,1741.48
105,2019-02-05,42,P14,10,499.52,4995.2
106,2019-02-18,49,P7,4,78.54,314.16
107,2019-02-06,42,P3,2,350.16,700.32
108,2019-02-20,47,P5,10,51.35,513.5
109,2019-02-10,45,P7,9,285.69,2571.21
110,2019-02-18,11,P5,7,443.25,3102.75
111,2019-02-13,9,P17,8,108.71,869.68
112,2019-02-07,21,P5,6,471.32,2827.92
113,2019-02-14,22,P11,7,491.79,3442.53
114,2019-02-12,40,P8,7,247.26,1730.82
115,2019-02-11,28,P18,4,463.54,1854.16
116,2019-02-14,22,P4,2,83.8,167.6
117,2019-02-26,29,P4,10,426.94,4269.4
118,2019-02-10,34,P1,4,110.06,440.24
119,2019-02-25,45,P6,5,265.61,1328.05
120,2019-02-01,29,P12,6,215.53,1293.18
121,2019-02-07,4,P19,7,180.11,1260.77
122,2019-02-09,7,P14,5,432.89,2164.45
123,2019-02-04,25,P14,6,318.08,1908.48
124,2019-02-25,18,P7,2,366.93,733.86
125,2019-02-03,31,P4,1,243.41,243.41
126,2019-02-26,29,P6,7,85.04,595.28
127,2019-02-20,19,P13,3,76.84,230.52
128,2019-02-17,24,P10,5,240.34,1201.7
129,2019-02-07,21,P1,7,483.11,3381.77
130,2019-02-20,25,P8,6,174.19,1045.14
131,2019-02-09,16,P20,1,158.78,158.78
132,2019-02-15,31,P1,10,200.49,2004.9
133,2019-02-03,29,P2,10,404.05,4040.5
134,2019-02-04,45,P16,7,79.58,557.06
135,2019-02-12,25,P9,9,399.83,3598.47
136,2019-02-24,43,P7,1,67.35,67.35
137,2019-02-11,14,P5,7,112.99,790.93
138,2019-02-19,16,P5,4,400.71,1602.84
139,2019-02-05,34,P19,10,206.19,2061.9
140,2019-02-17,34,P12,6,105.24,631.44
141,2019-02-02,1,P1,6,462.34,2774.04
142,2019-02-09,1,P16,5,288.69,1443.45
143,2019-02-10,45,P15,5,408.55,2042.75
144,2019-02-24,12,P11,7,256.02,1792.14
145,2019-02-04,26,P18,8,116.72,933.76
146,2019-02-25,30,P14,2,87.42,174.84
147,2019-02-11,16,P11,4,87.31,349.24
148,2019-02-20,28,P17,4,335.62,1342.48
149,2019-02-17,10,P3,7,155.85,1090.95
150,2019-02-27,36,P12,4,147.53,590.12
151,2019-02-07,12,P5,6,378.27,2269.62
152,2019-02-11,9,P12,5,128.65,643.25
153,2019-02-18,24,P19,5,109.15,545.75
154,2019-02-19,10,P18,9,130.43,1173.87
155,2019-02-27,34,P20,8,420.44,3363.52
156,2019-02-16,43,P6,7,342.83,2399.81
157,2019-02-25,11,P11,7,493.78,3456.46
158,2019-02-02,50,P2,8,339.21,2713.68
159,2019-02-11,30,P10,2,87.06,174.12
160,2019-02-22,8,P20,5,291.94,1459.7
161,2019-02-23,36,P15,4,216.92,867.68
162,2019-02-18,19,P9,9,140.01,1260.09
163,2019-02-21,20,P14,6,415.28,2491.68
164,2019-02-09,27,P1,10,479.72,4797.2
165,2019-02-19,2,P17,4,374.64,1498.56
166,2019-02-15,22,P13,5,116.12,580.6
167,2019-02-19,24,P20,9,185.91,1673.19
168,2019-02-21,6,P10,9,125.29,1127.61
169,2019-02-19,27,P19,8,202.92,1623.36
170,2019-02-06,49,P13,3,319.19,957.57
171,2019-02-27,8,P3,3,215.54,646.62
172,2019-02-15,8,P14,6,339.42,2036.52
173,2019-02-28,12,P16,2,315.33,630.66
174,2019-02-06,3,P12,6,487.99,2927.94
175,2019-02-07,21,P4,9,426.31,3836.79
176,2019-02-20,3,P11,10,410.28,4102.8
177,2019-02-22,47,P3,1,367.54,367.54
178,2019-02-14,24,P9,7,456.08,3192.56
179,2019-02-04,29,P10,4,346.62,1386.48
180,2019-02-19,23,P16,3,164.77,494.31
181,2019-02-28,19,P13,2,136.98,273.96
182,2019-02-09,34,P1,9,483.91,4355.19
183,2019-02-27,29,P2,5,277.06,1385.3
184,2019-02-18,13,P10,10,197.0,1970.0
185,2019-02-12,5,P17,3,112.72,338.16
186,2019-02-03,49,P10,6,292.52,1755.12
187,2019-02-21,5,P1,3,364.38,1093.14
188,2019-02-10,22,P3,7,497.72,3484.04
189,2019-02-19,4,P8,4,455.5,1822.0
190,2019-02-12,25,P1,2,74.16,148.32
191,2019-02-03,25,P14,3,55.71,167.13
192,2019-02-19,43,P9,10,90.02,900.2
193,2019-02-12,33,P17,4,301.22,1204.88
194,2019-02-22,18,P9,10,86.64,866.4
195,2019-02-27,27,P11,4,395.82,1583.28
196,2019-02-22,35,P3,9,350.99,3158.91
197,2019-02-22,35,P12,2,257.85,515.7
198,2019-02-06,6,P12,1,55.36,55.36
199,2019-02-28,15,P1,5,412.0,2060.0
200,2019-02-01,27,P2,7,468.33,3278.31
